epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,lr
1,0.2974853669870758,99.87252305221888,6.086377235709432,0.2454176000231909,81.50599324552041,5.277117870013799,5e-05
2,0.1832020234991856,60.84605586869967,3.743019266617836,0.2206490998963894,73.13717194769198,4.741210995784145,0.0001
3,0.1394531772749018,46.14526554944716,2.84433604007246,0.1935937051239407,64.59552373048274,4.1495897651082965,0.0001
4,0.1173099072622611,38.77554863138191,2.3904909802227565,0.1891344998768944,62.39099342456931,4.017396978151717,9.915716843435316e-05
5,0.103633789098454,34.21328874556582,2.1143518612014915,0.1883615479442434,61.43598768905978,4.047511462051054,9.66573753555156e-05
6,0.0942627661227404,31.10952156807998,1.923530863021264,0.180294234610132,59.05735462500541,3.896125778442034,9.258574821861593e-05
7,0.0871531712594026,28.758958432742645,1.7794087368442455,0.1709635257527425,55.98284370299967,3.675197909768981,8.708094140242264e-05
8,0.0810385326736147,26.69688454484898,1.655084119563646,0.1720729298451367,56.38529190634661,3.687166232242896,8.03304145007732e-05
9,0.0761084566110905,25.05029073882289,1.5552212982151759,0.17435248960421412,56.89918319783746,3.770235811934342,7.256404861093866e-05
10,0.0718876562095009,23.624000711432767,1.469047517246742,0.16967169734883436,55.438106097985624,3.6485300699463776,6.404631800856812e-05
11,0.06861344622795415,22.531664682075654,1.4031104209161616,0.16703504755626297,54.92637902792398,3.569791463806349,5.5067283793433455e-05
12,0.06578008611973275,21.578963241676405,1.3454380290904255,0.16188164932797025,52.87994052021443,3.47002555689482,4.5932716206566554e-05
13,0.06312343200663846,20.683701220741504,1.2921958537780376,0.16287205310565447,53.183843710879685,3.4849267008140217,3.6953681991431905e-05
14,0.06108517445953432,20.001842634427682,1.2510999140603483,0.16075669528875214,52.39720743294433,3.436551691325363,2.843595138906136e-05
