zone,forecast_hour,rank,patch_y,patch_x,attention,attention_norm
ME,11,1,4,0,0.025959176942706108,0.02842132755435025
ME,11,2,3,0,0.024690216407179832,0.027032009891724218
ME,11,3,2,0,0.024266274645924568,0.026567858517156488
ME,11,4,5,0,0.02320774644613266,0.025408932070520605
ME,11,5,4,1,0.019050005823373795,0.02085684213383791
ME,11,6,1,0,0.01775369793176651,0.019437583299862754
ME,11,7,6,0,0.016308316960930824,0.017855112249119825
ME,11,8,7,0,0.015094638802111149,0.016526320331968276
ME,12,1,4,0,0.0271042101085186,0.029886064056014797
ME,12,2,3,0,0.02547270990908146,0.02808711403044461
ME,12,3,5,0,0.025188392028212547,0.027773615043907157
ME,12,4,2,0,0.02479659579694271,0.027341606613565356
ME,12,5,4,1,0.01984819583594799,0.021885325186548617
ME,12,6,1,0,0.018028566613793373,0.019878937423401164
ME,12,7,6,0,0.016609633341431618,0.01831437123611035
ME,12,8,7,0,0.01507699117064476,0.016624425581627335
ME,13,1,4,0,0.028433237224817276,0.03153742247743025
ME,13,2,5,0,0.027106942608952522,0.030066330272932366
ME,13,3,3,0,0.026418425142765045,0.029302644237376357
ME,13,4,2,0,0.025515291839838028,0.028300911782410378
ME,13,5,4,1,0.020869199186563492,0.023147584156820406
ME,13,6,1,0,0.018823642283678055,0.02087870454463139
ME,13,7,6,0,0.016466578468680382,0.018264309400241607
ME,13,8,0,0,0.015165719203650951,0.016821429439000182
ME,14,1,4,0,0.029682517051696777,0.03295230676040825
ME,14,2,5,0,0.028103772550821304,0.03119964969973683
ME,14,3,3,0,0.02724972367286682,0.03025151984384478
ME,14,4,2,0,0.026172645390033722,0.029055791937108475
ME,14,5,4,1,0.022057736292481422,0.024487589495328463
ME,14,6,1,0,0.019817886874079704,0.02200100100946162
ME,14,7,0,0,0.015971332788467407,0.0177307152389241
ME,14,8,6,0,0.01583225093781948,0.017576312302024458
ME,15,1,4,0,0.03075307607650757,0.03399006383506498
ME,15,2,5,0,0.028040556237101555,0.03099203130440306
ME,15,3,3,0,0.02783469296991825,0.030764499412131614
ME,15,4,2,0,0.02670263685286045,0.02951328605097245
ME,15,5,4,1,0.023164505138993263,0.025602739915293955
ME,15,6,1,0,0.02053123153746128,0.022692294872703987
ME,15,7,0,0,0.016242705285549164,0.01795236964707112
ME,15,8,4,2,0.01618773117661476,0.017891609108277945
ME,16,1,4,0,0.03156609088182449,0.03465881325052488
ME,16,2,3,0,0.028181420639157295,0.030942526229291077
ME,16,3,5,0,0.027533285319805145,0.03023088914129708
ME,16,4,2,0,0.02717747539281845,0.02984021834654196
ME,16,5,4,1,0.023898843675851822,0.026240359091843322
ME,16,6,1,0,0.020894311368465424,0.022941454436948817
ME,16,7,3,1,0.01654243841767311,0.018163201961652026
ME,16,8,4,2,0.016452861949801445,0.01806484914111341
ME,17,1,4,0,0.03201581537723541,0.03494727877896773
ME,17,2,3,0,0.028344083577394485,0.030939352280807055
ME,17,3,2,0,0.02768545225262642,0.03022041471048371
ME,17,4,5,0,0.027206093072891235,0.029697163976679992
ME,17,5,4,1,0.02422178164124489,0.026439600102821502
ME,17,6,1,0,0.02125597931444645,0.02320224008257247
ME,17,7,3,1,0.016754580661654472,0.01828867996358683
ME,17,8,4,2,0.01638738065958023,0.017887858035770164
ME,18,1,4,0,0.03207965940237045,0.03486219934369371
ME,18,2,3,0,0.028338799253106117,0.03079686278245527
ME,18,3,2,0,0.028227798640727997,0.030676234148981928
ME,18,4,5,0,0.027245189994573593,0.029608395551651293
ME,18,5,4,1,0.024214468896389008,0.02631479440225
ME,18,6,1,0,0.02187650091946125,0.02377403470625382
ME,18,7,3,1,0.01664888858795166,0.018092987382566456
ME,18,8,0,0,0.01652502454817295,0.017958379567934814
ME,19,1,4,0,0.0319485142827034,0.034588125809806886
ME,19,2,2,0,0.02875102311372757,0.031126455390655103
ME,19,3,3,0,0.028265511617064476,0.030600830550010095
ME,19,4,5,0,0.027450812980532646,0.029718820867553696
ME,19,5,4,1,0.02405945397913456,0.02604726510228033
ME,19,6,1,0,0.022739142179489136,0.02461786809714222
ME,19,7,0,0,0.017446426674723625,0.018887864249875538
ME,19,8,2,1,0.01658029295504093,0.01795016987700387
ME,20,1,4,0,0.03191625699400902,0.03440986690229526
ME,20,2,2,0,0.029227064922451973,0.03151056886511141
ME,20,3,3,0,0.02832099050283432,0.030533703056928752
ME,20,4,5,0,0.027518970891833305,0.029669021835921044
ME,20,5,4,1,0.024060077965259552,0.025939886390776757
ME,20,6,1,0,0.023615622892975807,0.02546070614466568
ME,20,7,0,0,0.018468130379915237,0.0199110412109542
ME,20,8,2,1,0.01680675521492958,0.01811986318175528
ME,21,1,4,0,0.03203121945261955,0.034358512017033105
ME,21,2,2,0,0.02958546206355095,0.03173505321405616
ME,21,3,3,0,0.028551669791340828,0.030626148688570085
ME,21,4,5,0,0.02730146236717701,0.02928510493372785
ME,21,5,4,1,0.024417316541075706,0.026191405701590956
ME,21,6,1,0,0.024187525734305382,0.02594491898236066
ME,21,7,0,0,0.01915108598768711,0.020542546593347685
ME,21,8,2,1,0.017014801502227783,0.018251046069178507
ME,22,1,4,0,0.031810857355594635,0.0339125199586548
ME,22,2,2,0,0.029559243470430374,0.03151214765915159
ME,22,3,3,0,0.0286201573908329,0.030511018545866526
ME,22,4,5,0,0.026783041656017303,0.02855252923742493
ME,22,5,4,1,0.024941498413681984,0.026589319907279703
ME,22,6,1,0,0.024135155603289604,0.0257297040740667
ME,22,7,0,0,0.01919103041291237,0.02045893308155625
ME,22,8,2,1,0.0171144250780344,0.018245131703049464
ME,23,1,4,0,0.03066333942115307,0.0324556768748561
ME,23,2,2,0,0.02879863604903221,0.030481977621758468
ME,23,3,3,0,0.02803954854607582,0.029678519838595475
ME,23,4,5,0,0.025969482958316803,0.027487454511258103
ME,23,5,4,1,0.025003178045153618,0.026464667019215564
ME,23,6,1,0,0.023259082809090614,0.024618625704433416
ME,23,7,0,0,0.018539540469646454,0.019623216070069394
ME,23,8,3,1,0.01699013262987137,0.017983242044265196
ME,24,1,4,0,0.028440771624445915,0.029866326745877452
ME,24,2,2,0,0.027109412476420403,0.028468235025438146
ME,24,3,3,0,0.026529481634497643,0.02785923593625769
ME,24,4,5,0,0.02471005730330944,0.025948615427004013
ME,24,5,4,1,0.02392922155559063,0.025128641345984828
ME,24,6,1,0,0.021615279838442802,0.022698716437201692
ME,24,7,0,0,0.017384279519319534,0.018255642962914084
ME,24,8,3,1,0.016730735078454018,0.017569340492939466
NH,1,1,4,0,0.023950282484292984,0.025360522236232582
NH,1,2,5,0,0.023191053420305252,0.02455658827126652
NH,1,3,2,0,0.022686747834086418,0.02402258817997129
NH,1,4,3,0,0.022189272567629814,0.023495820591103708
NH,1,5,4,1,0.019557030871510506,0.02070858732530188
NH,1,6,1,0,0.017964737489819527,0.019022536576653596
