patch_y,patch_x,raw_y_center,raw_x_center,proj_y_center,proj_x_center,lat,lon
5,6,258.5,305.0,988193.847443336,2267479.857478069,,
5,7,258.5,324.5,988193.847443336,2325979.857478069,,
5,8,258.5,344.0,988193.847443336,2384479.857478069,,
5,9,258.5,363.5,988193.847443336,2442979.857478069,,
6,0,286.5,189.0,1072193.8474433362,1919479.8574780696,,
6,1,286.5,208.0,1072193.8474433362,1976479.8574780696,,
6,2,286.5,227.5,1072193.8474433362,2034979.8574780691,,
6,3,286.5,247.0,1072193.8474433362,2093479.8574780691,,
6,4,286.5,266.5,1072193.8474433362,2151979.857478069,,
6,5,286.5,286.0,1072193.8474433362,2210479.857478069,,
6,6,286.5,305.0,1072193.8474433362,2267479.857478069,,
6,7,286.5,324.5,1072193.8474433362,2325979.857478069,,
6,8,286.5,344.0,1072193.8474433362,2384479.857478069,,
6,9,286.5,363.5,1072193.8474433362,2442979.857478069,,
7,0,314.5,189.0,1156193.8474433362,1919479.8574780696,,
7,1,314.5,208.0,1156193.8474433362,1976479.8574780696,,
7,2,314.5,227.5,1156193.8474433362,2034979.8574780691,,
7,3,314.5,247.0,1156193.8474433362,2093479.8574780691,,
7,4,314.5,266.5,1156193.8474433362,2151979.857478069,,
7,5,314.5,286.0,1156193.8474433362,2210479.857478069,,
7,6,314.5,305.0,1156193.8474433362,2267479.857478069,,
7,7,314.5,324.5,1156193.8474433362,2325979.857478069,,
7,8,314.5,344.0,1156193.8474433362,2384479.857478069,,
7,9,314.5,363.5,1156193.8474433362,2442979.857478069,,
8,0,342.5,189.0,1240193.8474433362,1919479.8574780696,,
8,1,342.5,208.0,1240193.8474433362,1976479.8574780696,,
8,2,342.5,227.5,1240193.8474433362,2034979.8574780691,,
8,3,342.5,247.0,1240193.8474433362,2093479.8574780691,,
8,4,342.5,266.5,1240193.8474433362,2151979.857478069,,
8,5,342.5,286.0,1240193.8474433362,2210479.857478069,,
8,6,342.5,305.0,1240193.8474433362,2267479.857478069,,
8,7,342.5,324.5,1240193.8474433362,2325979.857478069,,
8,8,342.5,344.0,1240193.8474433362,2384479.857478069,,
8,9,342.5,363.5,1240193.8474433362,2442979.857478069,,
9,0,371.0,189.0,1325693.8474433362,1919479.8574780696,,
9,1,371.0,208.0,1325693.8474433362,1976479.8574780696,,
9,2,371.0,227.5,1325693.8474433362,2034979.8574780691,,
9,3,371.0,247.0,1325693.8474433362,2093479.8574780691,,
9,4,371.0,266.5,1325693.8474433362,2151979.857478069,,
9,5,371.0,286.0,1325693.8474433362,2210479.857478069,,
9,6,371.0,305.0,1325693.8474433362,2267479.857478069,,
9,7,371.0,324.5,1325693.8474433362,2325979.857478069,,
9,8,371.0,344.0,1325693.8474433362,2384479.857478069,,
9,9,371.0,363.5,1325693.8474433362,2442979.857478069,,
