zone,forecast_hour,max_patch_y,max_patch_x,center_of_mass_y,center_of_mass_x,entropy
ME,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
ME,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
ME,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
ME,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
ME,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
ME,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
ME,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
ME,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
ME,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
ME,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
ME,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
ME,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
ME,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
ME,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
ME,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
ME,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
ME,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
ME,18,4,0,3.950356041729006,3.78939396417947,4.480455676113425
ME,19,4,0,3.908451514542921,3.796415795832899,4.477981354983731
ME,20,4,0,3.864009894229002,3.7885560036484875,4.474240945084985
ME,21,4,0,3.8281905774641345,3.775507528202158,4.470867053455499
ME,22,4,0,3.8022784710332003,3.7786952509393337,4.470364392221266
ME,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
ME,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
NH,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
NH,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
NH,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
NH,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
NH,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
NH,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
NH,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
NH,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
NH,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
NH,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
NH,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
NH,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
NH,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
NH,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
NH,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
NH,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
NH,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
NH,18,4,0,3.950356041729006,3.78939396417947,4.480455676113425
NH,19,4,0,3.908451514542921,3.796415795832899,4.477981354983731
NH,20,4,0,3.864009894229002,3.7885560036484875,4.474240945084985
NH,21,4,0,3.8281905774641345,3.775507528202158,4.470867053455499
NH,22,4,0,3.8022784710332003,3.7786952509393337,4.470364392221266
NH,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
NH,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
VT,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
VT,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
VT,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
VT,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
VT,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
VT,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
VT,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
VT,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
VT,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
VT,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
VT,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
VT,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
VT,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
VT,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
VT,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
VT,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
VT,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
VT,18,4,0,3.950356041729006,3.78939396417947,4.480455676113425
VT,19,4,0,3.908451514542921,3.796415795832899,4.477981354983731
VT,20,4,0,3.864009894229002,3.7885560036484875,4.474240945084985
VT,21,4,0,3.8281905774641345,3.775507528202158,4.470867053455499
VT,22,4,0,3.8022784710332003,3.7786952509393337,4.470364392221266
VT,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
VT,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
CT,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
CT,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
CT,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
CT,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
CT,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
CT,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
CT,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
CT,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
CT,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
CT,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
CT,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
CT,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
CT,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
CT,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
CT,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
CT,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
CT,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
CT,18,4,0,3.950356041729006,3.78939396417947,4.480455676113425
CT,19,4,0,3.908451514542921,3.796415795832899,4.477981354983731
CT,20,4,0,3.864009894229002,3.7885560036484875,4.474240945084985
CT,21,4,0,3.8281905774641345,3.775507528202158,4.470867053455499
CT,22,4,0,3.8022784710332003,3.7786952509393337,4.470364392221266
CT,23,4,0,3.779163118233416,3.819871300897548,4.475023969484899
CT,24,4,0,3.7570223288099176,3.907160791759496,4.486055450505596
RI,1,4,0,3.8103518054766154,4.076903813180177,4.5163105763527565
RI,2,4,0,3.805192171613053,4.09827715464104,4.51555062140585
RI,3,4,0,3.825127066796694,4.087735524140802,4.515528795886571
RI,4,4,0,3.8593673894926424,4.058009639873596,4.515408636918203
RI,5,4,0,3.893406150501896,4.024195149547467,4.514418726248464
RI,6,4,0,3.925473513563135,3.9973039250448115,4.513704097369946
RI,7,4,0,3.9632821007719286,3.98401421602917,4.514837670972779
RI,8,4,0,4.010051645581447,3.981998087678076,4.517694748531294
RI,9,4,0,4.058673789443205,3.980308464314711,4.520254024040101
RI,10,4,0,4.094068793214165,3.9665551820440674,4.519726326641437
RI,11,4,0,4.100605509407191,3.9327752513690295,4.5139143897194325
RI,12,4,0,4.073767064047005,3.8782558965605447,4.5027657742133105
RI,13,4,0,4.029865650531936,3.813398695001689,4.489868732719352
RI,14,4,0,3.997132859624839,3.758841959193165,4.480809303690336
RI,15,4,0,3.9875369154802427,3.735012788363581,4.478148130922328
RI,16,4,0,3.9874667668948653,3.744324454937768,4.479484852713973
RI,17,4,0,3.97790416386492,3.7687235355298148,4.480898811710445
