epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,lr
1,0.19501618688145825,108.20525311803362,6.680817725678061,0.10096971881785768,76.70763576498825,5.0833841147451935,5e-05
2,0.06903441440627457,65.13903727204719,4.038559612458618,0.08224852855528603,66.27198288803159,4.3897857225867885,0.0001
3,0.044707197573194274,51.83998057620999,3.2236586391912887,0.06653463320310012,59.12891841681519,3.8820874273515185,0.0001
4,0.033453712866666624,44.906573382441316,2.786382955417412,0.06932134733708238,60.9110473667783,3.902899908930678,9.995880606755685e-05
5,0.026633098391946875,40.43442089745818,2.4900353414306204,0.055646967476360484,55.13083364837856,3.4896407939487966,9.983529283346257e-05
6,0.022089456132930563,36.86277325672371,2.267793334652213,0.05332315474111129,54.18668351140616,3.490003343611796,9.962966587330588e-05
7,0.018896634181588243,34.0648435177435,2.0960849930321457,0.051315078981693144,52.13207892031047,3.41096948877808,9.93422674328688e-05
8,0.016798372203540718,32.12278261209506,1.9779381522357928,0.055727408649905025,54.81829954953117,3.54569191635338,9.897357585849235e-05
9,0.015193964899917426,30.61960705031753,1.8829343021432938,0.05653613395220547,55.48031702850319,3.6050652522761646,9.852420480091621e-05
10,0.013760722666358492,29.13712738579703,1.7926091145714365,0.05040848994466801,53.66045450395623,3.444792677408598,9.799490219391762e-05
