rank,feature,hist_importance,future_importance,total_importance
1,TMP@2m_above_ground,7.2132374795572045e-06,4.0566798545645574e-05,4.778003602520278e-05
2,RH@2m_above_ground,6.474376652263077e-06,3.596626690586907e-05,4.2440643558132146e-05
3,VGRD@10m_above_ground,6.113794512070731e-06,3.359989796306207e-05,3.97136924751328e-05
4,UGRD@10m_above_ground,5.989648286029888e-06,3.290443037948224e-05,3.8894078665512124e-05
5,GUST@surface,5.809711551994543e-06,3.210246426930556e-05,3.7912175821300104e-05
6,DSWRF@surface,5.771462386813611e-06,3.1828031843001307e-05,3.7599494229814914e-05
7,APCP_1h_accumulation,5.464065035045287e-06,2.9878194315706254e-05,3.534225935075154e-05
