epoch,train_loss,train_mae,train_mape,val_loss,val_mae,val_mape,lr
1,0.28716883326962217,96.52912688441413,5.925414052445373,0.20649002362654534,68.38706732298965,4.407480732374878,5e-05
2,0.17507512252277016,58.57190710962698,3.5781007252006765,0.16176984960154964,53.75535559832731,3.446197090734499,0.0001
3,0.13243779619543428,44.33023293620074,2.6935289953960506,0.15295251647965247,50.59916209489722,3.284312512318627,0.0001
4,0.11200839704337165,37.40291648725789,2.2757279160791963,0.1433926012495076,48.147428407661785,3.051363209090313,9.915716843435315e-05
5,0.09899696242468106,32.98879043268103,2.0104184339642006,0.14214728475413857,47.35845627897655,3.0342589658553405,9.665737535551561e-05
6,0.08956554788588857,29.758159295021713,1.8185609724640794,0.1420419487791994,46.743433216057085,3.050022531938266,9.258574821861591e-05
7,0.08285851324912474,27.464089678973604,1.6837843723679147,0.13549977411310393,44.93913883882411,2.868388175645614,8.708094140242264e-05
8,0.07659117222892028,25.333710537304178,1.5569784110678555,0.1370118252642743,45.31523008907543,2.9242103631950407,8.03304145007732e-05
9,0.07196619171335815,23.787620435253185,1.4621206143255452,0.13474186375976246,44.582661653931034,2.914619046093354,7.256404861093866e-05
10,0.06760812168561264,22.327160487046783,1.3745022520054606,0.1301073356654646,43.129193671556536,2.794693558497498,6.404631800856812e-05
11,0.06419893027851091,21.1784189708938,1.3058961730156375,0.12959671834436784,43.23393996831021,2.7759020776410335,5.5067283793433455e-05
12,0.061236823622237466,20.180556091348297,1.2456169975509566,0.1303929659589909,42.87283003437692,2.7785253782334722,4.5932716206566554e-05
13,0.058640849588362944,19.315187406250423,1.1937658052894724,0.13146172102577727,43.687872893797525,2.8085372607793584,3.6953681991431905e-05
14,0.0564422336409429,18.572624213159962,1.1491178147210468,0.13155015469895145,43.198016205008834,2.822915740749415,2.843595138906136e-05
15,0.054738710347663186,17.99610516431532,1.1147487739784399,0.13018626415201323,43.0391621306254,2.7991549947033683,2.0669585499226815e-05
16,0.053343725160526795,17.533256360374114,1.0867703496821788,0.1301328314725819,42.90787720589168,2.7808215921051724,1.391905859757738e-05
