rank,feature,hist_importance,future_importance,total_importance
1,TMP@2m_above_ground,5.574264098010909e-06,3.36916952835035e-05,3.926595938151441e-05
2,RH@2m_above_ground,5.236586995138736e-06,3.166116159386927e-05,3.6897748589008004e-05
3,VGRD@10m_above_ground,5.093676461006188e-06,3.0457185134480374e-05,3.555086159548656e-05
4,UGRD@10m_above_ground,4.900122236269529e-06,2.9269082146517653e-05,3.416920438278718e-05
5,GUST@surface,4.754261439643415e-06,2.8416951082969413e-05,3.317121252261283e-05
6,DSWRF@surface,4.702777881130752e-06,2.8197906992488697e-05,3.2900684873619446e-05
7,APCP_1h_accumulation,4.396093154213077e-06,2.6029944438713908e-05,3.0426037592926984e-05
