zone,rank,feature,hist_importance,future_importance,total_importance
CT,1,TMP@2m_above_ground,5.158371958676374e-06,3.0432481935349642e-05,3.559085389402602e-05
CT,2,RH@2m_above_ground,4.846704325700557e-06,2.8581540398893897e-05,3.342824472459446e-05
CT,3,VGRD@10m_above_ground,4.722789652570706e-06,2.7567366930725257e-05,3.229015658329596e-05
CT,4,UGRD@10m_above_ground,4.544165761899421e-06,2.634801322377219e-05,3.089217898567161e-05
CT,5,GUST@surface,4.432302656217265e-06,2.5755733768543603e-05,3.0188036424760868e-05
CT,6,DSWRF@surface,4.367024193167405e-06,2.549122957399656e-05,2.9858253767163964e-05
CT,7,APCP_1h_accumulation,4.059985146416996e-06,2.3459077243614957e-05,2.7519062390031955e-05
RI,1,TMP@2m_above_ground,4.400964570550059e-06,2.5198224996832626e-05,2.9599189567382685e-05
RI,2,RH@2m_above_ground,4.13009953490473e-06,2.364143891782078e-05,2.777153845272551e-05
RI,3,VGRD@10m_above_ground,4.019456144987998e-06,2.271023710894345e-05,2.6729693253931448e-05
RI,4,UGRD@10m_above_ground,3.859763386534117e-06,2.187468691090544e-05,2.5734450297439555e-05
RI,5,GUST@surface,3.7490039602516844e-06,2.1260141293547954e-05,2.5009145253799637e-05
RI,6,DSWRF@surface,3.71254928571337e-06,2.1082051762277843e-05,2.4794601047991214e-05
RI,7,APCP_1h_accumulation,3.470958904472354e-06,1.941406517858013e-05,2.2885024083052486e-05
SEMA,1,TMP@2m_above_ground,4.791453583645003e-06,2.9567547737012017e-05,3.435900132065702e-05
SEMA,2,RH@2m_above_ground,4.500696015459956e-06,2.781607900601557e-05,3.2316775021475525e-05
SEMA,3,VGRD@10m_above_ground,4.370218354665667e-06,2.6745525595591364e-05,3.111574395025703e-05
SEMA,4,UGRD@10m_above_ground,4.202224498802328e-06,2.5765841170747685e-05,2.9968065669550013e-05
SEMA,5,GUST@surface,4.074614821547584e-06,2.5074920777493996e-05,2.914953559904158e-05
SEMA,6,DSWRF@surface,4.052419392526948e-06,2.4931598939777663e-05,2.898401833230461e-05
SEMA,7,APCP_1h_accumulation,3.7772619037923504e-06,2.2929120081016664e-05,2.6706381984809013e-05
WCMA,1,TMP@2m_above_ground,5.812956968990572e-06,3.332620345872783e-05,3.9139160427718404e-05
WCMA,2,RH@2m_above_ground,5.451934971271536e-06,3.139767923130421e-05,3.684961420257575e-05
WCMA,3,VGRD@10m_above_ground,5.306235408397697e-06,3.0182621965953634e-05,3.5488857374351335e-05
WCMA,4,UGRD@10m_above_ground,5.102690246872044e-06,2.9021700822795537e-05,3.412439106966758e-05
WCMA,5,GUST@surface,4.941085207595582e-06,2.8185859673612867e-05,3.3126944881208446e-05
WCMA,6,DSWRF@surface,4.885194322431138e-06,2.7935807234295378e-05,3.282100155672652e-05
WCMA,7,APCP_1h_accumulation,4.581172597302915e-06,2.580713789749704e-05,3.0388310494799953e-05
NEMA_BOST,1,TMP@2m_above_ground,4.837735511387109e-06,2.6971797427677303e-05,3.1809532939064414e-05
NEMA_BOST,2,RH@2m_above_ground,4.532380553238606e-06,2.5306650409599268e-05,2.9839030962837874e-05
NEMA_BOST,3,VGRD@10m_above_ground,4.41003917899252e-06,2.431873450253382e-05,2.872877368152634e-05
NEMA_BOST,4,UGRD@10m_above_ground,4.247603870529322e-06,2.347956288417663e-05,2.772716675470595e-05
NEMA_BOST,5,GUST@surface,4.114468615057376e-06,2.2770847812125795e-05,2.6885316427183173e-05
NEMA_BOST,6,DSWRF@surface,4.072711278505873e-06,2.2517462559790148e-05,2.659017383829602e-05
NEMA_BOST,7,APCP_1h_accumulation,3.817166951118149e-06,2.083866409255582e-05,2.465583104367397e-05
